Barcode	Set	CellType
Cell-1835	P11	C20
Cell-1836	P11	C21
Cell-1837	P11	C12
Cell-1838	P11	C9
Cell-1839	P11	C40
Cell-1841	P11	C22
Cell-1842	P11	C24
Cell-1849	P11	C12
Cell-1850	P11	C31
Cell-1854	P11	C8
Cell-1855	P11	C25
Cell-1864	P11	C53
Cell-1866	P11	C31
Cell-1868	P11	C11
Cell-1869	P11	C41
Cell-1871	P11	C33
Cell-1872	P11	C11
Cell-1875	P11	C53
Cell-1885	P11	C16
Cell-1899	P11	C54
Cell-1900	P11	C23
Cell-1903	P11	C20
Cell-1904	P11	C40
Cell-1909	P11	C40
Cell-1924	P11	C1
Cell-1936	P11	C20
Cell-1941	P11	C3
Cell-1942	P11	C26
Cell-1943	P11	C14
Cell-1964	P11	C41
Cell-1967	P11	C53
Cell-1971	P11	C18
Cell-1972	P11	C41
Cell-1978	P11	C27
Cell-1988	P11	C10
Cell-1989	P11	C25
Cell-2006	P11	C16
Cell-2008	P11	C17
Cell-2009	P11	C24
Cell-2012	P11	C26
Cell-2015	P11	C45
Cell-2027	P11	C41
Cell-2039	P11	C9
Cell-2040	P11	C30
Cell-2041	P11	C26
Cell-2043	P11	C12
Cell-2044	P11	C3
Cell-2045	P11	C3
Cell-2059	P11	C17
Cell-2060	P11	C3
Cell-2063	P11	C54
Cell-2065	P11	C12
Cell-2067	P11	C54
Cell-2070	P11	C17
Cell-2072	P11	C53
Cell-2087	P11	C30
Cell-2088	P11	C3
Cell-2089	P11	C10
Cell-2090	P11	C30
Cell-2093	P11	C1
Cell-2094	P11	C24
Cell-2096	P11	C9
Cell-2099	P11	C53
Cell-2100	P11	C53
Cell-2111	P11	C8
Cell-2112	P11	C8
Cell-2114	P11	C3
Cell-2115	P11	C28
Cell-2119	P11	C1
Cell-2126	P11	C8
Cell-2158	P11	C11
Cell-2159	P11	C20
Cell-2160	P11	C18
Cell-2162	P11	C12
Cell-2163	P11	C23
Cell-2166	P11	C9
Cell-2183	P11	C1
Cell-2184	P11	C1
Cell-2186	P11	C12
Cell-2201	P11	C5
Cell-2204	P11	C8
Cell-2205	P11	C31
Cell-2208	P11	C11
Cell-2211	P11	C12
Cell-2221	P11	C24
Cell-2222	P11	C26
Cell-2224	P11	C11
Cell-2234	P11	C28
Cell-2235	P11	C11
Cell-2236	P11	C30
Cell-2239	P11	C54
Cell-2242	P11	C30
Cell-2251	P11	C8
Cell-2254	P11	C21
Cell-2257	P11	C12
Cell-2258	P11	C12
Cell-2259	P11	C23
Cell-2273	P11	C17
Cell-2276	P11	C22
Cell-2280	P11	C8
Cell-2282	P11	C8
Cell-2283	P11	C8
Cell-2297	P11	C1
Cell-2302	P11	C9
Cell-2303	P11	C55
Cell-2304	P11	C12
Cell-2319	P11	C9
Cell-2320	P11	C8
Cell-2325	P11	C9
Cell-2346	P11	C3
Cell-2350	P11	C3
Cell-2351	P11	C8
Cell-2352	P11	C35
Cell-2356	P11	C22
Cell-2370	P11	C8
Cell-2371	P11	C24
Cell-2372	P11	C3
Cell-2374	P11	C16
Cell-2377	P11	C12
Cell-2408	P11	C20
Cell-2410	P11	C12
Cell-2412	P11	C12
Cell-2430	P11	C8
Cell-2432	P11	C11
Cell-2433	P11	C24
Cell-2434	P11	C3
Cell-2436	P11	C23
Cell-2450	P11	C8
Cell-2451	P11	C8
Cell-2454	P11	C25
Cell-2456	P11	C41
Cell-2473	P11	C26
Cell-2474	P11	C3
Cell-2496	P11	C8
Cell-2498	P11	C13
Cell-2499	P11	C9
Cell-2500	P11	C33
Cell-2503	P11	C3
Cell-2506	P11	C8
Cell-2516	P11	C4
Cell-2517	P11	C12
Cell-2518	P11	C54
Cell-2521	P11	C12
Cell-2523	P11	C30
Cell-2524	P11	C1
Cell-2526	P11	C4
Cell-2527	P11	C53
Cell-2541	P11	C17
Cell-2542	P11	C27
Cell-2544	P11	C22
Cell-2547	P11	C54
Cell-2553	P11	C9
Cell-2555	P11	C35
Cell-2568	P11	C8
Cell-2571	P11	C16
Cell-2589	P11	C4
Cell-2600	P11	C12
Cell-2601	P11	C35
Cell-2604	P11	C21
Cell-2605	P11	C12
Cell-2618	P11	C16
Cell-2619	P11	C43
Cell-2621	P11	C12
Cell-2630	P11	C8
Cell-2631	P11	C3
Cell-2644	P11	C12
Cell-2646	P11	C1
Cell-2652	P11	C12
Cell-2661	P11	C20
Cell-2662	P11	C13
Cell-2664	P11	C21
Cell-2688	P11	C21
Cell-2689	P11	C26
Cell-2696	P11	C8
Cell-2719	P11	C9
Cell-2722	P11	C31
Cell-2736	P11	C24
Cell-2748	P11	C11
Cell-2749	P11	C22
Cell-2751	P11	C12
Cell-2755	P11	C17
Cell-2756	P11	C3
Cell-2774	P11	C8
Cell-2776	P11	C9
Cell-2778	P11	C9
Cell-2789	P11	C53
Cell-2790	P11	C25
Cell-2807	P11	C12
Cell-2816	P11	C4
Cell-2817	P11	C13
Cell-2818	P11	C54
Cell-2819	P11	C31
Cell-2836	P11	C12
Cell-2837	P11	C56
Cell-2839	P11	C9
Cell-2840	P11	C11
Cell-2841	P11	C10
Cell-2845	P11	C31
Cell-2846	P11	C44
Cell-2860	P11	C1
Cell-2861	P11	C18
Cell-2862	P11	C41
Cell-2863	P11	C55
Cell-2868	P11	C18
Cell-2869	P11	C9
Cell-2871	P11	C13
Cell-2872	P11	C53
Cell-2877	P11	C20
Cell-2882	P11	C12
Cell-2884	P11	C31
Cell-2897	P11	C18
Cell-2903	P11	C53
Cell-2904	P11	C12
Cell-2905	P11	C12
Cell-2924	P11	C13
Cell-2925	P11	C4
Cell-2926	P11	C12
Cell-2927	P11	C36
Cell-2930	P11	C18
Cell-2931	P11	C23
Cell-2934	P11	C9
Cell-2935	P11	C4
Cell-2947	P11	C8
Cell-2948	P11	C4
Cell-2950	P11	C12
Cell-2951	P11	C31
Cell-2966	P11	C3
Cell-2969	P11	C12
Cell-2970	P11	C8
Cell-2971	P11	C47
Cell-2973	P11	C11
Cell-2975	P11	C8
Cell-2981	P11	C54
Cell-2982	P11	C54
Cell-2983	P11	C9
Cell-2985	P11	C55
Cell-2986	P11	C8
Cell-3000	P11	C19
Cell-3001	P11	C43
Cell-3016	P11	C31
Cell-3021	P11	C1
Cell-3024	P11	C12
Cell-3026	P11	C3
Cell-3032	P11	C9
Cell-3034	P11	C53
Cell-3038	P11	C22
Cell-3055	P11	C54
Cell-3058	P11	C13
Cell-3059	P11	C19
Cell-3071	P11	C9
