Barcode	Set	CellType
Cell-55769	P11	C3
Cell-55770	P11	C8
Cell-55771	P11	C9
Cell-55773	P11	C4
Cell-55781	P11	C18
Cell-55782	P11	C4
Cell-55796	P11	C13
Cell-55797	P11	C26
Cell-55804	P11	C41
Cell-55806	P11	C18
Cell-55817	P11	C30
Cell-55819	P11	C4
Cell-55821	P11	C8
Cell-55822	P11	C21
Cell-55824	P11	C54
Cell-55825	P11	C53
Cell-55849	P11	C14
Cell-55851	P11	C12
Cell-55853	P11	C54
Cell-55857	P11	C4
Cell-55859	P11	C10
Cell-55879	P11	C14
Cell-55894	P11	C11
Cell-55897	P11	C59
Cell-55902	P11	C27
Cell-55903	P11	C30
Cell-55916	P11	C18
Cell-55917	P11	C13
Cell-55918	P11	C8
Cell-55940	P11	C12
Cell-55962	P11	C1
Cell-55964	P11	C18
Cell-55966	P11	C1
Cell-55972	P11	C53
Cell-55990	P11	C20
Cell-55991	P11	C14
Cell-55992	P11	C3
Cell-55997	P11	C16
Cell-55998	P11	C8
Cell-56010	P11	C21
Cell-56011	P11	C9
Cell-56012	P11	C9
Cell-56014	P11	C12
Cell-56032	P11	C45
Cell-56035	P11	C41
Cell-56050	P11	C8
Cell-56053	P11	C9
Cell-56054	P11	C4
Cell-56055	P11	C4
Cell-56073	P11	C55
Cell-56074	P11	C3
Cell-56076	P11	C18
Cell-56078	P11	C4
Cell-56080	P11	C9
Cell-56081	P11	C17
Cell-56083	P11	C33
Cell-56084	P11	C10
Cell-56085	P11	C8
Cell-56086	P11	C18
Cell-56100	P11	C12
Cell-56101	P11	C55
Cell-56117	P11	C43
Cell-56120	P11	C54
Cell-56121	P11	C9
Cell-56134	P11	C1
Cell-56137	P11	C9
Cell-56149	P11	C16
Cell-56152	P11	C55
Cell-56161	P11	C8
Cell-56163	P11	C9
Cell-56165	P11	C53
Cell-56169	P11	C41
Cell-56172	P11	C1
Cell-56174	P11	C31
Cell-56189	P11	C49
Cell-56191	P11	C54
Cell-56196	P11	C3
Cell-56197	P11	C22
Cell-56199	P11	C14
Cell-56221	P11	C8
Cell-56225	P11	C23
Cell-56234	P11	C53
Cell-56238	P11	C30
Cell-56256	P11	C13
Cell-56259	P11	C53
Cell-56275	P11	C33
Cell-56276	P11	C12
Cell-56277	P11	C8
Cell-56279	P11	C55
Cell-56280	P11	C22
Cell-56282	P11	C37
Cell-56283	P11	C12
Cell-56287	P11	C54
Cell-56293	P11	C21
Cell-56296	P11	C53
Cell-56300	P11	C54
Cell-56301	P11	C1
Cell-56319	P11	C10
Cell-56333	P11	C20
Cell-56334	P11	C23
Cell-56338	P11	C10
Cell-56345	P11	C43
Cell-56350	P11	C17
Cell-56359	P11	C54
Cell-56360	P11	C13
Cell-56361	P11	C53
Cell-56362	P11	C3
Cell-56365	P11	C41
Cell-56366	P11	C12
Cell-56367	P11	C8
Cell-56390	P11	C18
Cell-56401	P11	C9
Cell-56403	P11	C18
Cell-56405	P11	C28
Cell-56416	P11	C1
Cell-56423	P11	C14
Cell-56437	P11	C4
Cell-56439	P11	C20
Cell-56441	P11	C9
Cell-56444	P11	C3
Cell-56455	P11	C20
Cell-56457	P11	C19
Cell-56463	P11	C31
Cell-56478	P11	C41
Cell-56479	P11	C55
Cell-56490	P11	C12
Cell-56500	P11	C26
Cell-56502	P11	C3
Cell-56504	P11	C9
Cell-56507	P11	C12
Cell-56522	P11	C12
Cell-56526	P11	C21
Cell-56527	P11	C47
Cell-56528	P11	C21
Cell-56529	P11	C4
Cell-56531	P11	C41
Cell-56541	P11	C8
Cell-56549	P11	C25
Cell-56564	P11	C23
Cell-56565	P11	C49
Cell-56567	P11	C23
Cell-56575	P11	C36
Cell-56576	P11	C23
Cell-56577	P11	C12
Cell-56578	P11	C9
Cell-56579	P11	C31
Cell-56582	P11	C34
Cell-56594	P11	C12
Cell-56595	P11	C27
Cell-56615	P11	C53
Cell-56617	P11	C8
Cell-56627	P11	C3
Cell-56628	P11	C53
Cell-56630	P11	C26
Cell-56647	P11	C21
Cell-56649	P11	C9
Cell-56651	P11	C12
Cell-56653	P11	C16
Cell-56663	P11	C20
Cell-56665	P11	C11
Cell-56666	P11	C53
Cell-56680	P11	C22
Cell-56689	P11	C19
Cell-56690	P11	C38
Cell-56691	P11	C12
Cell-56700	P11	C33
Cell-56711	P11	C12
Cell-56712	P11	C4
Cell-56714	P11	C53
Cell-56716	P11	C54
Cell-56717	P11	C54
Cell-56718	P11	C53
Cell-56734	P11	C13
Cell-56745	P11	C53
Cell-56746	P11	C1
Cell-56747	P11	C9
Cell-56748	P11	C1
Cell-56754	P11	C53
Cell-56755	P11	C24
Cell-56757	P11	C4
Cell-56760	P11	C12
Cell-56761	P11	C11
Cell-56773	P11	C34
Cell-56774	P11	C11
Cell-56790	P11	C12
Cell-56804	P11	C31
Cell-56821	P11	C55
Cell-56822	P11	C13
Cell-56823	P11	C54
Cell-56835	P11	C16
Cell-56842	P11	C14
Cell-56857	P11	C21
Cell-56859	P11	C55
Cell-56860	P11	C16
Cell-56870	P11	C8
Cell-56871	P11	C1
Cell-56872	P11	C14
Cell-56873	P11	C53
Cell-56874	P11	C8
Cell-56877	P11	C8
Cell-56879	P11	C30
Cell-56895	P11	C3
Cell-56898	P11	C12
Cell-56911	P11	C53
Cell-56912	P11	C22
Cell-56913	P11	C12
Cell-56914	P11	C14
Cell-56938	P11	C3
Cell-56940	P11	C41
Cell-56965	P11	C55
Cell-56966	P11	C41
Cell-56968	P11	C20
Cell-56970	P11	C53
Cell-56971	P11	C1
Cell-56983	P11	C12
Cell-56985	P11	C10
Cell-56991	P11	C27
Cell-56993	P11	C18
Cell-57004	P11	C12
Cell-57006	P11	C8
Cell-57007	P11	C55
Cell-57018	P11	C16
Cell-57019	P11	C12
Cell-57022	P11	C8
Cell-57026	P11	C18
Cell-57027	P11	C11
Cell-57028	P11	C3
Cell-57048	P11	C16
Cell-57050	P11	C16
Cell-57074	P11	C18
Cell-57076	P11	C35
Cell-57088	P11	C53
Cell-57099	P11	C29
Cell-57115	P11	C35
Cell-57116	P11	C11
Cell-57123	P11	C1
Cell-57137	P11	C11
Cell-57162	P11	C41
Cell-57172	P11	C1
Cell-57177	P11	C21
Cell-57188	P11	C47
Cell-57201	P11	C53
Cell-57211	P11	C44
Cell-57214	P11	C55
Cell-57228	P11	C1
Cell-57229	P11	C53
Cell-57230	P11	C27
Cell-57244	P11	C20
Cell-57246	P11	C22
Cell-57248	P11	C10
Cell-57261	P11	C54
Cell-57262	P11	C41
Cell-57265	P11	C41
Cell-57267	P11	C16
Cell-57275	P11	C18
Cell-57279	P11	C16
Cell-57282	P11	C12
Cell-57297	P11	C18
Cell-57298	P11	C13
Cell-57301	P11	C33
Cell-57321	P11	C18
Cell-57322	P11	C16
Cell-57323	P11	C42
Cell-57339	P11	C30
Cell-57340	P11	C12
Cell-57341	P11	C3
Cell-57350	P11	C27
Cell-57369	P11	C8
Cell-57370	P11	C42
Cell-57372	P11	C3
Cell-57375	P11	C12
Cell-57376	P11	C8
Cell-57387	P11	C20
Cell-57392	P11	C9
Cell-57398	P11	C23
Cell-57400	P11	C13
Cell-57402	P11	C8
Cell-57405	P11	C3
Cell-57415	P11	C33
Cell-57416	P11	C34
Cell-57418	P11	C8
Cell-57419	P11	C11
Cell-57420	P11	C40
Cell-57427	P11	C31
Cell-57428	P11	C12
Cell-57442	P11	C16
Cell-57444	P11	C8
Cell-57445	P11	C41
Cell-57466	P11	C11
Cell-57470	P11	C8
Cell-57475	P11	C16
Cell-57477	P11	C1
Cell-57481	P11	C34
Cell-57492	P11	C32
Cell-57493	P11	C1
Cell-57511	P11	C31
Cell-57512	P11	C35
Cell-57513	P11	C30
Cell-57536	P11	C8
Cell-57537	P11	C53
Cell-57538	P11	C8
Cell-57540	P11	C55
Cell-57541	P11	C3
Cell-57553	P11	C23
Cell-57556	P11	C4
Cell-57560	P11	C4
Cell-57584	P11	C19
Cell-57592	P11	C12
Cell-57593	P11	C4
Cell-57608	P11	C8
Cell-57610	P11	C27
Cell-57613	P11	C32
Cell-57627	P11	C8
Cell-57631	P11	C8
Cell-57632	P11	C55
Cell-57634	P11	C27
Cell-57635	P11	C12
Cell-57651	P11	C11
Cell-57652	P11	C47
Cell-57653	P11	C37
Cell-57661	P11	C18
Cell-57662	P11	C12
Cell-57673	P11	C8
Cell-57688	P11	C18
Cell-57690	P11	C18
Cell-57692	P11	C20
Cell-57700	P11	C1
Cell-57702	P11	C53
Cell-57703	P11	C53
Cell-57704	P11	C17
Cell-57716	P11	C30
Cell-57719	P11	C8
Cell-57721	P11	C40
Cell-57724	P11	C3
Cell-57725	P11	C12
Cell-57741	P11	C1
Cell-57743	P11	C4
Cell-57745	P11	C22
Cell-57747	P11	C8
Cell-57750	P11	C21
Cell-57765	P11	C53
Cell-57766	P11	C4
Cell-57767	P11	C35
Cell-57770	P11	C8
Cell-57781	P11	C41
Cell-57783	P11	C53
Cell-57784	P11	C53
Cell-57786	P11	C55
Cell-57787	P11	C1
Cell-57795	P11	C16
Cell-57796	P11	C10
Cell-57805	P11	C24
Cell-57806	P11	C12
Cell-57834	P11	C22
Cell-57836	P11	C18
Cell-57837	P11	C11
Cell-57839	P11	C11
Cell-57840	P11	C3
Cell-57860	P11	C8
Cell-57861	P11	C12
Cell-57875	P11	C33
Cell-57881	P11	C23
Cell-57890	P11	C12
Cell-57891	P11	C34
Cell-57895	P11	C3
Cell-57902	P11	C12
Cell-57912	P11	C9
Cell-57933	P11	C1
Cell-57934	P11	C33
Cell-57935	P11	C10
Cell-57944	P11	C12
Cell-57945	P11	C23
Cell-57950	P11	C11
Cell-57972	P11	C27
Cell-57989	P11	C5
Cell-57991	P11	C18
Cell-57992	P11	C38
Cell-57997	P11	C41
Cell-58025	P11	C54
Cell-58026	P11	C18
Cell-58027	P11	C36
Cell-58028	P11	C11
Cell-58033	P11	C21
Cell-58036	P11	C47
Cell-58062	P11	C30
Cell-58064	P11	C1
Cell-58065	P11	C18
Cell-58066	P11	C21
Cell-58082	P11	C14
Cell-58085	P11	C18
Cell-58097	P11	C8
Cell-58103	P11	C4
Cell-58104	P11	C30
Cell-58116	P11	C53
Cell-58117	P11	C54
Cell-58120	P11	C3
Cell-58121	P11	C16
Cell-58124	P11	C27
Cell-58135	P11	C53
Cell-58138	P11	C14
Cell-58157	P11	C30
Cell-58158	P11	C53
Cell-58166	P11	C19
Cell-58175	P11	C10
Cell-58193	P11	C31
Cell-58196	P11	C16
Cell-58209	P11	C47
Cell-58214	P11	C40
Cell-58234	P11	C53
Cell-58237	P11	C35
Cell-58239	P11	C3
Cell-58252	P11	C14
Cell-58256	P11	C53
Cell-58271	P11	C10
Cell-58284	P11	C53
Cell-58285	P11	C17
Cell-58301	P11	C13
Cell-58302	P11	C3
Cell-58303	P11	C31
Cell-58320	P11	C3
Cell-58322	P11	C53
Cell-58325	P11	C54
Cell-58328	P11	C53
Cell-58339	P11	C10
Cell-58348	P11	C23
Cell-58352	P11	C34
Cell-58354	P11	C5
Cell-58364	P11	C18
Cell-58383	P11	C53
Cell-58386	P11	C53
Cell-58387	P11	C18
Cell-58402	P11	C8
Cell-58404	P11	C54
Cell-58410	P11	C20
Cell-58435	P11	C53
Cell-58437	P11	C12
Cell-58439	P11	C1
Cell-58440	P11	C9
Cell-58455	P11	C12
Cell-58456	P11	C8
Cell-58458	P11	C12
Cell-58460	P11	C41
Cell-58490	P11	C8
Cell-58497	P11	C16
Cell-58508	P11	C12
Cell-58510	P11	C23
Cell-58515	P11	C8
Cell-58531	P11	C10
Cell-58532	P11	C4
Cell-58557	P11	C42
Cell-58558	P11	C40
Cell-58576	P11	C20
Cell-58577	P11	C12
Cell-58579	P11	C12
Cell-58581	P11	C13
Cell-58583	P11	C22
Cell-58599	P11	C3
Cell-58600	P11	C12
Cell-58601	P11	C13
Cell-58606	P11	C25
Cell-58624	P11	C16
Cell-58626	P11	C25
Cell-58628	P11	C20
Cell-58630	P11	C21
Cell-58645	P11	C18
Cell-58646	P11	C31
Cell-58648	P11	C8
Cell-58650	P11	C14
Cell-58658	P11	C8
Cell-58663	P11	C19
Cell-58665	P11	C10
Cell-58666	P11	C3
Cell-58683	P11	C8
Cell-58684	P11	C30
Cell-58687	P11	C12
Cell-58688	P11	C9
Cell-58690	P11	C16
Cell-58692	P11	C45
Cell-58707	P11	C23
Cell-58711	P11	C1
Cell-58726	P11	C4
Cell-58729	P11	C40
Cell-58739	P11	C9
Cell-58742	P11	C32
Cell-58776	P11	C21
Cell-58777	P11	C18
Cell-58778	P11	C35
Cell-58789	P11	C18
Cell-58806	P11	C16
Cell-58808	P11	C25
Cell-58831	P11	C40
Cell-58834	P11	C55
Cell-58840	P11	C1
Cell-58841	P11	C27
Cell-58843	P11	C1
Cell-58846	P11	C29
Cell-58859	P11	C16
Cell-58860	P11	C18
Cell-58862	P11	C29
Cell-58865	P11	C4
Cell-58876	P11	C53
Cell-58891	P11	C14
Cell-58892	P11	C38
Cell-58893	P11	C4
Cell-58896	P11	C53
Cell-58898	P11	C18
Cell-58900	P11	C12
Cell-58914	P11	C12
Cell-58922	P11	C9
Cell-58923	P11	C8
Cell-58931	P11	C3
Cell-58938	P11	C3
Cell-58945	P11	C12
Cell-58950	P11	C41
Cell-58951	P11	C4
Cell-58964	P11	C30
Cell-58982	P11	C41
Cell-59004	P11	C8
Cell-59006	P11	C1
Cell-59008	P11	C8
Cell-59010	P11	C55
Cell-59011	P11	C55
Cell-59027	P11	C1
Cell-59028	P11	C37
Cell-59030	P11	C53
Cell-59033	P11	C14
Cell-59036	P11	C14
Cell-59047	P11	C54
Cell-59049	P11	C18
Cell-59059	P11	C4
Cell-59060	P11	C53
Cell-59061	P11	C21
Cell-59066	P11	C41
Cell-59076	P11	C25
Cell-59083	P11	C21
Cell-59090	P11	C9
Cell-59093	P11	C30
Cell-59094	P11	C12
Cell-59095	P11	C33
Cell-59096	P11	C1
Cell-59105	P11	C54
Cell-59107	P11	C42
Cell-59108	P11	C12
Cell-59114	P11	C53
Cell-59116	P11	C12
Cell-59136	P11	C42
Cell-59138	P11	C21
Cell-59139	P11	C1
Cell-59153	P11	C14
Cell-59162	P11	C18
Cell-59164	P11	C1
Cell-59165	P11	C10
Cell-59189	P11	C12
Cell-59190	P11	C22
Cell-59195	P11	C10
Cell-59212	P11	C1
Cell-59241	P11	C3
Cell-59242	P11	C19
Cell-59248	P11	C34
Cell-59263	P11	C14
Cell-59264	P11	C12
Cell-59266	P11	C24
Cell-59270	P11	C9
Cell-59271	P11	C18
Cell-59287	P11	C3
Cell-59294	P11	C19
Cell-59295	P11	C14
Cell-59297	P11	C14
Cell-59298	P11	C13
Cell-59306	P11	C20
Cell-59307	P11	C13
Cell-59308	P11	C8
Cell-59310	P11	C9
Cell-59312	P11	C54
Cell-59324	P11	C34
Cell-59325	P11	C1
Cell-59329	P11	C22
Cell-59331	P11	C41
Cell-59346	P11	C13
Cell-59347	P11	C3
Cell-59365	P11	C13
Cell-59367	P11	C3
Cell-59386	P11	C12
Cell-59390	P11	C4
Cell-59391	P11	C8
Cell-59404	P11	C32
Cell-59406	P11	C23
Cell-59417	P11	C12
Cell-59422	P11	C1
Cell-59423	P11	C23
Cell-59424	P11	C16
Cell-59425	P11	C53
Cell-59426	P11	C54
Cell-59436	P11	C9
Cell-59441	P11	C53
Cell-59451	P11	C21
Cell-59453	P11	C47
Cell-59461	P11	C40
Cell-59471	P11	C8
Cell-59472	P11	C9
Cell-59479	P11	C16
Cell-59497	P11	C9
Cell-59499	P11	C26
Cell-59500	P11	C9
Cell-59511	P11	C30
Cell-59513	P11	C53
Cell-59517	P11	C54
Cell-59521	P11	C13
Cell-59534	P11	C36
Cell-59538	P11	C1
Cell-59541	P11	C23
Cell-59562	P11	C10
Cell-59563	P11	C30
Cell-59566	P11	C14
Cell-59580	P11	C19
Cell-59583	P11	C30
Cell-59584	P11	C35
Cell-59586	P11	C9
Cell-59589	P11	C16
Cell-59616	P11	C9
Cell-59636	P11	C18
Cell-59639	P11	C40
Cell-59647	P11	C9
Cell-59648	P11	C16
Cell-59652	P11	C44
Cell-59654	P11	C26
Cell-59657	P11	C12
Cell-59667	P11	C24
Cell-59668	P11	C10
Cell-59669	P11	C18
Cell-59688	P11	C26
Cell-59694	P11	C23
Cell-59695	P11	C14
Cell-59696	P11	C10
Cell-59709	P11	C47
Cell-59726	P11	C54
Cell-59727	P11	C53
Cell-59728	P11	C31
Cell-59729	P11	C47
Cell-59730	P11	C24
Cell-59735	P11	C33
Cell-59736	P11	C42
Cell-59744	P11	C27
Cell-59747	P11	C4
Cell-59750	P11	C35
Cell-59751	P11	C29
Cell-59752	P11	C53
Cell-59753	P11	C53
Cell-59785	P11	C21
Cell-59786	P11	C11
Cell-59787	P11	C22
Cell-59788	P11	C53
Cell-59800	P11	C53
Cell-59805	P11	C41
Cell-59806	P11	C25
Cell-59808	P11	C16
Cell-59825	P11	C10
Cell-59828	P11	C13
Cell-59854	P11	C18
Cell-59855	P11	C4
Cell-59865	P11	C40
Cell-59873	P11	C36
Cell-59883	P11	C21
Cell-59888	P11	C1
Cell-59896	P11	C53
Cell-59915	P11	C30
Cell-59916	P11	C56
Cell-59928	P11	C9
Cell-59936	P11	C11
Cell-59950	P11	C53
Cell-59969	P11	C3
Cell-59970	P11	C31
Cell-59976	P11	C14
Cell-59985	P11	C53
Cell-59987	P11	C21
Cell-59988	P11	C1
Cell-59990	P11	C22
Cell-59993	P11	C37
Cell-59994	P11	C9
Cell-59995	P11	C4
Cell-60004	P11	C16
Cell-60007	P11	C53
Cell-60008	P11	C4
Cell-60012	P11	C53
Cell-60033	P11	C9
Cell-60036	P11	C3
Cell-60040	P11	C9
Cell-60041	P11	C54
Cell-60059	P11	C53
Cell-60060	P11	C17
Cell-60061	P11	C41
Cell-60062	P11	C9
Cell-60063	P11	C41
Cell-60078	P11	C3
Cell-60079	P11	C53
Cell-60086	P11	C20
Cell-60089	P11	C12
Cell-60095	P11	C55
Cell-60096	P11	C25
Cell-60104	P11	C26
Cell-60105	P11	C23
Cell-60106	P11	C9
Cell-60107	P11	C9
Cell-60111	P11	C21
Cell-60124	P11	C45
Cell-60125	P11	C8
Cell-60130	P11	C41
Cell-60131	P11	C3
Cell-60132	P11	C35
Cell-60152	P11	C8
Cell-60153	P11	C12
Cell-60157	P11	C10
Cell-60158	P11	C4
Cell-60161	P11	C8
Cell-60189	P11	C14
Cell-60192	P11	C20
Cell-60194	P11	C14
Cell-60200	P11	C28
Cell-60202	P11	C11
Cell-60213	P11	C1
Cell-60218	P11	C54
Cell-60221	P11	C13
Cell-60229	P11	C3
Cell-60230	P11	C53
Cell-60231	P11	C23
Cell-60248	P11	C1
Cell-60249	P11	C12
Cell-60250	P11	C11
Cell-60252	P11	C31
Cell-60254	P11	C3
Cell-60256	P11	C18
Cell-60267	P11	C41
Cell-60268	P11	C4
Cell-60270	P11	C35
Cell-60273	P11	C8
Cell-60285	P11	C13
Cell-60286	P11	C4
Cell-60287	P11	C21
Cell-60304	P11	C12
Cell-60308	P11	C9
Cell-60310	P11	C16
Cell-60312	P11	C25
Cell-60322	P11	C53
Cell-60369	P11	C54
Cell-60379	P11	C3
Cell-60381	P11	C3
Cell-60382	P11	C4
Cell-60392	P11	C8
Cell-60394	P11	C8
Cell-60395	P11	C11
Cell-60396	P11	C11
Cell-60398	P11	C33
Cell-60399	P11	C22
Cell-60400	P11	C8
Cell-60405	P11	C12
Cell-60406	P11	C54
Cell-60421	P11	C23
Cell-60423	P11	C27
Cell-60424	P11	C26
Cell-60425	P11	C20
Cell-60441	P11	C26
Cell-60443	P11	C8
Cell-60447	P11	C8
Cell-60448	P11	C11
Cell-60458	P11	C12
Cell-60459	P11	C3
Cell-60466	P11	C3
Cell-60468	P11	C20
Cell-60489	P11	C57
Cell-60490	P11	C12
Cell-60491	P11	C12
Cell-60492	P11	C29
Cell-60495	P11	C43
Cell-60496	P11	C12
Cell-60510	P11	C35
Cell-60511	P11	C30
Cell-60512	P11	C53
Cell-60515	P11	C22
Cell-60517	P11	C21
Cell-60518	P11	C8
Cell-60519	P11	C53
Cell-60532	P11	C27
Cell-60533	P11	C21
Cell-60534	P11	C23
Cell-60535	P11	C8
Cell-60539	P11	C32
Cell-60553	P11	C53
Cell-60556	P11	C4
Cell-60557	P11	C8
Cell-60558	P11	C8
Cell-60561	P11	C9
Cell-60562	P11	C4
Cell-60563	P11	C30
Cell-60578	P11	C8
Cell-60579	P11	C8
Cell-60580	P11	C9
Cell-60582	P11	C41
Cell-60583	P11	C12
Cell-60584	P11	C8
Cell-60585	P11	C16
Cell-60597	P11	C14
Cell-60613	P11	C1
Cell-60633	P11	C20
Cell-60647	P11	C37
Cell-60648	P11	C54
Cell-60650	P11	C9
Cell-60663	P11	C3
Cell-60664	P11	C24
Cell-60666	P11	C21
Cell-60667	P11	C4
Cell-60670	P11	C11
Cell-60683	P11	C22
Cell-60686	P11	C1
Cell-60692	P11	C8
Cell-60710	P11	C1
Cell-60711	P11	C8
Cell-60712	P11	C38
Cell-60734	P11	C1
Cell-60738	P11	C11
Cell-60742	P11	C9
Cell-60755	P11	C1
Cell-60757	P11	C41
Cell-60758	P11	C53
Cell-60764	P11	C53
Cell-60765	P11	C27
Cell-60766	P11	C20
Cell-60793	P11	C1
Cell-60803	P11	C4
Cell-60818	P11	C41
Cell-60819	P11	C8
Cell-60821	P11	C26
Cell-60832	P11	C12
Cell-60833	P11	C1
Cell-60836	P11	C13
Cell-60850	P11	C9
Cell-60853	P11	C43
Cell-60854	P11	C8
Cell-60871	P11	C55
Cell-60877	P11	C3
Cell-60888	P11	C8
Cell-60892	P11	C53
Cell-60913	P11	C10
Cell-60914	P11	C3
Cell-60915	P11	C10
Cell-60931	P11	C1
Cell-60932	P11	C11
Cell-60935	P11	C53
Cell-60938	P11	C31
Cell-60952	P11	C1
Cell-60953	P11	C8
Cell-60956	P11	C9
Cell-60971	P11	C50
Cell-60975	P11	C22
Cell-60977	P11	C11
Cell-60978	P11	C53
Cell-60981	P11	C14
Cell-60982	P11	C17
Cell-60994	P11	C25
Cell-60995	P11	C9
Cell-60996	P11	C8
Cell-61001	P11	C12
Cell-61002	P11	C18
Cell-61003	P11	C16
Cell-61005	P11	C12
Cell-61020	P11	C53
Cell-61021	P11	C9
Cell-61022	P11	C30
Cell-61024	P11	C40
Cell-61038	P11	C8
Cell-61040	P11	C4
Cell-61041	P11	C12
Cell-61048	P11	C35
Cell-61049	P11	C24
Cell-61051	P11	C3
Cell-61052	P11	C53
Cell-61069	P11	C8
Cell-61072	P11	C16
Cell-61089	P11	C54
Cell-61090	P11	C1
Cell-61096	P11	C34
Cell-61108	P11	C54
Cell-61111	P11	C18
Cell-61113	P11	C31
Cell-61131	P11	C8
Cell-61132	P11	C21
Cell-61144	P11	C11
Cell-61147	P11	C8
Cell-61148	P11	C17
Cell-61149	P11	C12
Cell-61150	P11	C41
Cell-61153	P11	C4
Cell-61155	P11	C21
Cell-61171	P11	C26
Cell-61173	P11	C20
Cell-61177	P11	C1
Cell-61179	P11	C54
Cell-61192	P11	C53
Cell-61197	P11	C18
Cell-61209	P11	C11
Cell-61211	P11	C8
Cell-61212	P11	C3
Cell-61214	P11	C21
Cell-61218	P11	C3
Cell-61251	P11	C10
Cell-61253	P11	C8
Cell-61254	P11	C53
Cell-61260	P11	C3
Cell-61277	P11	C41
Cell-61282	P11	C5
Cell-61283	P11	C23
Cell-61285	P11	C12
Cell-61290	P11	C41
Cell-61292	P11	C29
Cell-61294	P11	C3
Cell-61295	P11	C8
Cell-61318	P11	C38
Cell-61319	P11	C18
Cell-61320	P11	C44
Cell-61326	P11	C53
Cell-61348	P11	C20
Cell-61349	P11	C8
Cell-61350	P11	C18
Cell-61351	P11	C3
Cell-61352	P11	C41
Cell-61356	P11	C11
Cell-61376	P11	C12
Cell-61377	P11	C54
Cell-61383	P11	C19
Cell-61385	P11	C32
Cell-61386	P11	C20
Cell-61420	P11	C1
Cell-61426	P11	C18
Cell-61436	P11	C8
Cell-61437	P11	C3
Cell-61438	P11	C35
Cell-61442	P11	C21
Cell-61443	P11	C9
Cell-61456	P11	C33
Cell-61461	P11	C9
Cell-61462	P11	C3
Cell-61463	P11	C8
Cell-61464	P11	C41
Cell-61482	P11	C1
Cell-61483	P11	C53
Cell-61494	P11	C53
Cell-61495	P11	C30
Cell-61497	P11	C3
Cell-61499	P11	C3
Cell-61509	P11	C54
Cell-61511	P11	C27
Cell-61513	P11	C53
Cell-61514	P11	C8
Cell-61517	P11	C41
Cell-61521	P11	C23
Cell-61522	P11	C12
Cell-61523	P11	C54
Cell-61524	P11	C8
Cell-61544	P11	C21
Cell-61545	P11	C8
Cell-61546	P11	C8
Cell-61551	P11	C12
Cell-61565	P11	C53
Cell-61570	P11	C8
Cell-61571	P11	C17
Cell-61572	P11	C1
Cell-61601	P11	C1
Cell-61605	P11	C17
Cell-61607	P11	C9
Cell-61624	P11	C8
Cell-61626	P11	C16
Cell-61627	P11	C54
Cell-61647	P11	C12
Cell-61649	P11	C18
Cell-61650	P11	C13
Cell-61651	P11	C13
Cell-61660	P11	C47
Cell-61678	P11	C13
Cell-61679	P11	C4
Cell-61698	P11	C8
Cell-61699	P11	C54
Cell-61700	P11	C26
Cell-61702	P11	C11
Cell-61703	P11	C10
Cell-61718	P11	C45
Cell-61720	P11	C46
Cell-61730	P11	C47
Cell-61731	P11	C3
Cell-61733	P11	C40
Cell-61734	P11	C53
Cell-61737	P11	C33
Cell-61750	P11	C3
Cell-61751	P11	C16
Cell-61766	P11	C11
Cell-61767	P11	C8
Cell-61768	P11	C20
Cell-61771	P11	C26
Cell-61772	P11	C12
Cell-61795	P11	C26
Cell-61796	P11	C53
Cell-61799	P11	C53
Cell-61800	P11	C4
Cell-61816	P11	C30
Cell-61817	P11	C31
Cell-61821	P11	C54
Cell-61847	P11	C8
Cell-61848	P11	C13
Cell-61849	P11	C23
Cell-61858	P11	C8
Cell-61864	P11	C9
Cell-61886	P11	C3
Cell-61894	P11	C9
Cell-61911	P11	C3
Cell-61912	P11	C38
Cell-61914	P11	C10
Cell-61916	P11	C9
Cell-61918	P11	C23
Cell-61942	P11	C18
Cell-61944	P11	C13
Cell-61945	P11	C9
Cell-61947	P11	C3
Cell-61948	P11	C54
Cell-61962	P11	C30
Cell-61979	P11	C5
Cell-61983	P11	C3
Cell-61994	P11	C11
Cell-62011	P11	C13
Cell-62028	P11	C4
Cell-62034	P11	C8
Cell-62035	P11	C21
Cell-62037	P11	C5
Cell-62047	P11	C30
Cell-62048	P11	C1
Cell-62049	P11	C33
Cell-62053	P11	C13
Cell-62057	P11	C54
Cell-62058	P11	C31
Cell-62073	P11	C18
Cell-62087	P11	C8
Cell-62090	P11	C29
Cell-62093	P11	C12
Cell-62095	P11	C16
Cell-62097	P11	C3
Cell-62107	P11	C12
Cell-62125	P11	C5
Cell-62138	P11	C3
Cell-62148	P11	C10
Cell-62150	P11	C1
Cell-62151	P11	C53
Cell-62160	P11	C55
Cell-62161	P11	C1
Cell-62162	P11	C10
Cell-62171	P11	C41
Cell-62173	P11	C39
Cell-62175	P11	C53
Cell-62178	P11	C41
Cell-62214	P11	C10
Cell-62215	P11	C3
Cell-62223	P11	C40
Cell-62255	P11	C11
Cell-62256	P11	C8
Cell-62257	P11	C16
Cell-62258	P11	C43
Cell-62261	P11	C11
Cell-62262	P11	C8
Cell-62266	P11	C19
Cell-62280	P11	C9
Cell-62281	P11	C25
Cell-62282	P11	C54
Cell-62295	P11	C54
Cell-62296	P11	C21
Cell-62298	P11	C3
Cell-62311	P11	C41
Cell-62313	P11	C9
Cell-62316	P11	C27
Cell-62319	P11	C12
Cell-62322	P11	C37
